material_id,formula,band_gap,is_gap_direct,energy_above_hull,formation_energy_per_atom,crystal_system,spacegroup_symbol,spacegroup_number,estrutura_esperada,regime_calc,density,efermi,theoretical,has_experimental_ref,possible_species,familia
mp-1112014,Cs2NaIrF6,2.2607,True,0.0099657485,-2.536311646068965,Cubic,Fm-3m,225,perovskita dupla,GGA,5.579380871330555,1.53881651,True,False,"['Na+', 'Ir3+', 'Cs+', 'F-']",Perovskita Dupla
mp-1114009,Rb2TlAsCl6,1.9544,True,0.010121739749999,-1.622903490583333,Cubic,Fm-3m,225,perovskita dupla,GGA,3.254043298596242,0.76393323,True,False,"['Rb+', 'Cl-', 'As3+', 'Tl+']",Perovskita Dupla
mp-1112003,Cs2TlSbCl6,2.004299999999999,True,0.0103696795,-1.750358806264368,Cubic,Fm-3m,225,perovskita dupla,GGA,3.55683219936437,1.18648393,True,False,"['Cs+', 'Cl-', 'Sb3+', 'Tl+']",Perovskita Dupla
mp-1111486,Rb2GdAgCl6,2.128,False,0.010413259000002,-2.172751832666666,Cubic,Fm-3m,225,perovskita dupla,GGA,3.401239003793903,-0.23591069,True,False,"['Rb+', 'Ag+', 'Cl-', 'Gd3+']",Perovskita Dupla
mp-554803,VPbClO3,2.3699,False,0.011841643958335,-2.049469373749999,Orthorhombic,Pnma,62,perovskita dupla,GGA+U,5.477167228707442,1.800612109999999,False,True,"['Cl-', 'V5+', 'Pb2+', 'O2-']",Perovskita Dupla
mp-558849,CdBiS2Cl,1.916,False,0.011979506500001,-0.739189207124999,Orthorhombic,Pnma,62,perovskita dupla,GGA,5.6374287098609965,2.81119489,False,True,"['Cl-', 'Cd2+', 'S2-', 'Bi3+']",Perovskita Dupla
mp-1113520,Cs2ScInBr6,2.1681,True,0.012975812999999,-1.897423124097701,Cubic,Fm-3m,225,perovskita dupla,GGA,3.7676583249151134,0.4284058,True,False,"['Br-', 'Cs+', 'In+', 'Sc3+']",Perovskita Dupla
mp-1114163,Rb2ScTlI6,2.3969,False,0.0133027315,-1.427644711333334,Cubic,Fm-3m,225,perovskita dupla,GGA,4.006923962021946,0.48083333,True,False,"['I-', 'Rb+', 'Sc3+', 'Tl+']",Perovskita Dupla
mp-1112142,Cs2NaSbBr6,2.556,False,0.013583240500001,-1.638596316068965,Cubic,Fm-3m,225,perovskita dupla,GGA,3.833192312137865,-0.05567476,True,False,"['Br-', 'Na+', 'Cs+', 'Sb3+']",Perovskita Dupla
mp-1112286,K2FeAgF6,2.1064,False,0.013700425625001,-2.5556410536166663,Cubic,Fm-3m,225,perovskita dupla,GGA+U,3.550135076536538,1.84798798,True,False,"['K+', 'Fe3+', 'Ag+', 'F-']",Perovskita Dupla
mp-557410,NdTe2BrO5,1.9685,False,0.013871382808652,-2.117465268981481,Tetragonal,I4/mmm,139,perovskita dupla,GGA,6.579850326770641,4.97819925,True,False,"['Br-', 'Nd3+', 'O2-', 'Te4+']",Perovskita Dupla
mp-1200366,H4PbI3N,2.442199999999999,False,0.014295537222221,-0.6747974627777771,Orthorhombic,Pnma,62,perovskita dupla,GGA,4.532270399376386,3.97392887,False,True,"['N3-', 'I-', 'H+', 'Pb2+']",Perovskita Dupla
mp-996941,Cs2RbInBr6,2.496299999999999,True,0.014949250499999,-1.7372945553477002,Cubic,Fm-3m,225,perovskita dupla,GGA,3.665433094488842,-0.95916667,True,False,"['Br-', 'Rb+', 'Cs+', 'In3+']",Perovskita Dupla
mp-1110633,KRb2ScI6,2.339,False,0.0152074995,-1.586508878724999,Cubic,Fm-3m,225,perovskita dupla,GGA,3.454127518017046,0.21375,True,False,"['K+', 'I-', 'Rb+', 'Sc3+']",Perovskita Dupla
mp-554475,LaNb2ClO6,2.5637,True,0.015215007440472,-3.20632168175,Orthorhombic,Pnma,62,perovskita dupla,GGA,4.8679489004837855,2.134695879999999,False,True,"['Cl-', 'Nb5+', 'O2-', 'La3+']",Perovskita Dupla
mp-1112502,Cs2TlAsCl6,2.0627,True,0.0153941505,-1.667370324014368,Cubic,Fm-3m,225,perovskita dupla,GGA,3.633400060971328,0.97858608,True,False,"['Cs+', 'Cl-', 'As3+', 'Tl+']",Perovskita Dupla
mp-1110790,Rb2AgBiF6,2.5561,False,0.016627252500004,-2.542093180666666,Cubic,Fm-3m,225,perovskita dupla,GGA,4.763147245248189,0.47734736,True,False,"['F-', 'Rb+', 'Ag+', 'Bi3+']",Perovskita Dupla
mp-541375,CdH4Br3N,2.5461,False,0.0166317075,-0.854696339722221,Orthorhombic,Pnma,62,perovskita dupla,GGA,3.760375150717292,-0.52540975,False,True,"['Br-', 'Cd2+', 'H+', 'N3-']",Perovskita Dupla
mp-1112004,Cs2RbTlCl6,2.468899999999999,True,0.017584059499998,-1.844958549014368,Cubic,Fm-3m,225,perovskita dupla,GGA,3.361255225161925,-1.26140248,True,False,"['Rb+', 'Cs+', 'Cl-', 'Tl3+']",Perovskita Dupla
mp-1111393,CsRb2RhF6,2.2145,False,0.017921141500001,-2.557088107465516,Cubic,Fm-3m,225,perovskita dupla,GGA,3.962064790207272,0.24626509,True,False,"['Rh3+', 'F-', 'Rb+', 'Cs+']",Perovskita Dupla
mp-1111926,K2LiIrF6,2.083199999999999,True,0.018296613000002,-2.574690587783333,Cubic,Fm-3m,225,perovskita dupla,GGA,4.654594865961457,1.10166667,True,False,"['K+', 'Ir3+', 'Li+', 'F-']",Perovskita Dupla
mp-1110611,Rb2CoAgF6,2.009299999999999,False,0.018885782999999,-2.356622655666667,Cubic,Fm-3m,225,perovskita dupla,GGA,4.711270625440298,1.1599839,True,False,"['Ag+', 'Rb+', 'Co3+', 'F-']",Perovskita Dupla
mp-1111799,Rb2ScAgI6,2.1449,False,0.01990586225,-1.343710374166666,Cubic,Fm-3m,225,perovskita dupla,GGA,4.298874141606524,1.11937902,True,False,"['I-', 'Rb+', 'Ag+', 'Sc3+']",Perovskita Dupla
mp-1219590,RbMgNiF6,2.045,False,0.020472682222221,-2.833308671388889,Orthorhombic,Imma,74,perovskita dupla,GGA+U,3.420160732081892,-2.04658901,True,False,"['Mg2+', 'Rb+', 'F-', 'Ni3+']",Perovskita Dupla
mp-1112931,Cs2YAgI6,2.459399999999999,False,0.02086180725,-1.4560710330977011,Cubic,Fm-3m,225,perovskita dupla,GGA,4.482073488357927,1.02708333,True,False,"['Y3+', 'Ag+', 'Cs+', 'I-']",Perovskita Dupla
